Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Is Pseudo	# Transcripts	Gene Name or Symbol	Previous ID(s)	
PBANKA_0001601	PBANKA_0001601.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_1:48,795..50,417(-)	fam-a protein	No	1	N/A	Previous IDs: PB100045.00.0;PB100915.00.0;PB100916.00.0;PB103744.00.0;PB403108.00.0;PB403124.00.0;PBANKA_020020	
PBANKA_0006300	PBANKA_0006300.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_1:53,843..55,016(+)	PIR protein	No	1	N/A	Previous IDs: PBANKA_000630	
PBANKA_0006401	PBANKA_0006401.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_2:733..1,555(-)	PIR protein, pseudogene	Yes	1	N/A	N/A	
PBANKA_0006501	PBANKA_0006501.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_2:3,023..3,845(-)	PIR protein, pseudogene	Yes	1	N/A	N/A	
PBANKA_0006600	PBANKA_0006600.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_2:5,313..6,135(-)	PIR protein, pseudogene	Yes	1	N/A	Previous IDs: PBANKA_000660	
PBANKA_0006701	PBANKA_0006701.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_2:7,603..8,428(-)	PIR protein, pseudogene	Yes	1	N/A	N/A	
PBANKA_0006800	PBANKA_0006800.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_2:9,893..10,715(-)	PIR protein, pseudogene	Yes	1	N/A	Previous IDs: PBANKA_000680	
PBANKA_0006900	PBANKA_0006900.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_2:12,183..13,005(-)	PIR protein, pseudogene	Yes	1	N/A	Previous IDs: PBANKA_000690	
PBANKA_0007000	PBANKA_0007000.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_2:14,473..15,292(-)	PIR protein, pseudogene	Yes	1	N/A	Previous IDs: PBANKA_000700	
PBANKA_0007100	PBANKA_0007100.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_2:16,763..17,585(-)	PIR protein, pseudogene	Yes	1	N/A	Previous IDs: PBANKA_000710	
PBANKA_0007200	PBANKA_0007200.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_2:19,053..19,875(-)	PIR protein, pseudogene	Yes	1	N/A	Previous IDs: PBANKA_000720	
PBANKA_0007300	PBANKA_0007300.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_2:21,343..22,165(-)	PIR protein, pseudogene	Yes	1	N/A	Previous IDs: PBANKA_000730	
PBANKA_0007401	PBANKA_0007401.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_2:23,498..24,711(-)	PIR protein	No	1	N/A	Previous IDs: PB200111.00.0;PB200113.00.0;PB402964.00.0;PB403011.00.0;PB406008.00.0;PB500038.00.0;PBANKA_020010	
PBANKA_0007501	PBANKA_0007501.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_2:28,137..29,759(+)	fam-a protein	No	1	N/A	Previous IDs: PB100045.00.0;PB100915.00.0;PB100916.00.0;PB103744.00.0;PB403108.00.0;PB403124.00.0;PBANKA_020020	
PBANKA_0007601	PBANKA_0007601.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_2:31,539..32,626(-)	PIR protein	No	1	N/A	N/A	
PBANKA_0007701	PBANKA_0007701.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_3:1,120..2,672(+)	PIR protein, pseudogene	Yes	1	N/A	N/A	
PBANKA_0007801	PBANKA_0007801.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_3:6,017..6,911(+)	fam-b protein, pseudogene	No	1	N/A	Previous IDs: PB103056.00.0;PBANKA_070040	
PBANKA_0007901	PBANKA_0007901.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_3:9,729..10,923(+)	PIR protein	No	1	N/A	N/A	
PBANKA_0008001	PBANKA_0008001.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_3:13,760..14,847(+)	PIR protein	No	1	N/A	N/A	
PBANKA_0008101	PBANKA_0008101.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_3:16,627..18,240(-)	fam-a protein	No	1	N/A	N/A	
PBANKA_0008201	PBANKA_0008201.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_3:21,666..22,876(+)	PIR protein	No	1	N/A	N/A	
PBANKA_0008301	PBANKA_0008301.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_4:403..888(+)	PIR protein, pseudogene	Yes	1	N/A	N/A	
PBANKA_0008401	PBANKA_0008401.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_4:2,673..3,454(+)	PIR protein, pseudogene	Yes	1	N/A	N/A	
PBANKA_0008501	PBANKA_0008501.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_4:4,997..5,774(+)	PIR protein, pseudogene	Yes	1	N/A	N/A	
PBANKA_0008601	PBANKA_0008601.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_4:7,228..8,044(+)	PIR protein, pseudogene	Yes	1	N/A	N/A	
PBANKA_0008701	PBANKA_0008701.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_4:9,538..9,984(+)	PIR protein, pseudogene	Yes	1	N/A	N/A	
PBANKA_0008801	PBANKA_0008801.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_5:11..697(+)	PIR protein, pseudogene	Yes	1	N/A	N/A	
PBANKA_0008901	PBANKA_0008901.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_5:2,241..2,994(+)	PIR protein, pseudogene	Yes	1	N/A	N/A	
PBANKA_0009101	PBANKA_0009101.1	Plasmodium berghei ANKA	PbANKA_00_v3_archived_contig_5:4,502..5,286(+)	PIR protein, pseudogene	Yes	1	N/A	N/A	
PBANKA_0100021	PBANKA_0100021.1	Plasmodium berghei ANKA	PbANKA_01_v3:1,098..2,047(-)	fam-b protein	No	1	N/A	Previous IDs: PB402699.00.0;PBANKA_020080	
PBANKA_0100041	PBANKA_0100041.1	Plasmodium berghei ANKA	PbANKA_01_v3:8,896..14,118(+)	conserved rodent malaria protein, unknown function	No	1	N/A	Previous IDs: PB401947.00.0;PBANKA_020090	
PBANKA_0100061	PBANKA_0100061.1	Plasmodium berghei ANKA	PbANKA_01_v3:21,970..22,548(-)	fam-c protein	No	1	N/A	Previous IDs: PB107749.00.0;PBANKA_000520	
PBANKA_0100081	PBANKA_0100081.1	Plasmodium berghei ANKA	PbANKA_01_v3:24,218..25,286(-)	PIR protein, pseudogene	Yes	1	N/A	Previous IDs: PBANKA_100045	
PBANKA_0100100	PBANKA_0100100.1	Plasmodium berghei ANKA	PbANKA_01_v3:26,371..27,916(+)	fam-a protein	No	1	N/A	Previous IDs: PB100485.00.0;PB108427.00.0;PB300838.00.0;PBANKA_010010	
PBANKA_0100200	PBANKA_0100200.1	Plasmodium berghei ANKA	PbANKA_01_v3:29,285..30,482(+)	Plasmodium exported protein, unknown function	No	1	N/A	Previous IDs: PB108789.00.0;PB402722.00.0;PBANKA_010020	
PBANKA_0100300	PBANKA_0100300.1	Plasmodium berghei ANKA	PbANKA_01_v3:33,270..34,584(+)	lysophospholipase, putative, pseudogene	Yes	1	N/A	Previous IDs: PB001224.02.0;PB301251.00.0;PBANKA_010030	
PBANKA_0100400	PBANKA_0100400.1	Plasmodium berghei ANKA	PbANKA_01_v3:36,844..38,783(+)	reticulocyte binding protein, putative	No	1	Pb235	Previous IDs: PB105536.00.0;PBANKA_010040	
PBANKA_0100500	PBANKA_0100500.1	Plasmodium berghei ANKA	PbANKA_01_v3:40,052..41,483(-)	PIR protein	No	1	N/A	Previous IDs: PB106914.00.0;PB402406.00.0;PBANKA_010050	
PBANKA_0100600	PBANKA_0100600.1	Plasmodium berghei ANKA	PbANKA_01_v3:42,789..43,271(+)	schizont membrane associated cytoadherence protein	No	1	SMAC	Previous IDs: PB106913.00.0;PBANKA_010060	
PBANKA_0100700	PBANKA_0100700.1	Plasmodium berghei ANKA	PbANKA_01_v3:45,315..46,473(+)	Plasmodium exported protein, unknown function	No	1	N/A	Previous IDs: PB102655.00.0;PB402379.00.0;PBANKA_010070	
PBANKA_0100800	PBANKA_0100800.1	Plasmodium berghei ANKA	PbANKA_01_v3:47,559..51,707(-)	zinc finger protein, putative	No	1	N/A	Previous IDs: PB000291.01.0;PB300775.00.0;PBANKA_010080	
PBANKA_0100900	PBANKA_0100900.1	Plasmodium berghei ANKA	PbANKA_01_v3:56,253..60,273(+)	ATP-dependent RNA helicase MTR4, putative	No	1	MTR4	Previous IDs: PB001112.02.0;PB301243.00.0;PBANKA_010090	
PBANKA_0101000	PBANKA_0101000.1	Plasmodium berghei ANKA	PbANKA_01_v3:61,396..62,666(+)	MYND-type zinc finger protein, putative	No	1	N/A	Previous IDs: PB001117.02.0;PB300247.00.0;PB300583.00.0;PBANKA_010100	
PBANKA_0101100	PBANKA_0101100.1	Plasmodium berghei ANKA	PbANKA_01_v3:63,665..64,618(+)	liver merozoite formation protein	No	1	PALM	Previous IDs: PB001116.02.0;PBANKA_010110	
PBANKA_0101200	PBANKA_0101200.1	Plasmodium berghei ANKA	PbANKA_01_v3:65,221..68,380(-)	elongation factor G, putative	No	1	EF-G	Previous IDs: PB001113.02.0;PB300521.00.0;PBANKA_010120	
PBANKA_0101300	PBANKA_0101300.1	Plasmodium berghei ANKA	PbANKA_01_v3:69,076..70,230(+)	geranylgeranyl transferase type-2 subunit beta, putative	No	1	N/A	Previous IDs: PB001114.02.0;PB301566.00.0;PBANKA_010130	
PBANKA_0101400	PBANKA_0101400.1	Plasmodium berghei ANKA	PbANKA_01_v3:70,637..75,081(-)	SAC3 domain-containing protein, putative	No	1	N/A	Previous IDs: PB001115.02.0;PBANKA_010140	
PBANKA_0101500	PBANKA_0101500.1	Plasmodium berghei ANKA	PbANKA_01_v3:77,684..79,087(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000865.01.0;PBANKA_010150	
PBANKA_0101600	PBANKA_0101600.1	Plasmodium berghei ANKA	PbANKA_01_v3:79,755..81,779(+)	JmjC domain-containing protein, putative	No	1	JmjC2	Previous IDs: PB301508.00.0;PBANKA_010160	
PBANKA_0101700	PBANKA_0101700.1	Plasmodium berghei ANKA	PbANKA_01_v3:82,175..83,622(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB301509.00.0;PBANKA_010170	
PBANKA_0101800	PBANKA_0101800.1	Plasmodium berghei ANKA	PbANKA_01_v3:85,535..87,034(+)	SDE2 domain-containing protein, putative	No	1	N/A	Previous IDs: PB001235.00.0;PB300372.00.0;PBANKA_010180	
PBANKA_0101900	PBANKA_0101900.1	Plasmodium berghei ANKA	PbANKA_01_v3:88,330..89,766(-)	RNA-binding protein, putative	No	1	N/A	Previous IDs: PB001234.00.0;PBANKA_010190	
PBANKA_0102000	PBANKA_0102000.1	Plasmodium berghei ANKA	PbANKA_01_v3:92,030..93,454(+)	mitochondrial chaperone BCS1, putative	No	1	BCS1	Previous IDs: PB001168.02.0;PBANKA_010200	
PBANKA_0102100	PBANKA_0102100.1	Plasmodium berghei ANKA	PbANKA_01_v3:94,042..95,595(-)	dihydroorotate dehydrogenase, putative	No	1	DHODH	Previous IDs: PB001169.02.0;PBANKA_010210	
PBANKA_0102200	PBANKA_0102200.1	Plasmodium berghei ANKA	PbANKA_01_v3:96,818..99,523(-)	trophozoite exported protein 1, putative	No	1	TEX1	Previous IDs: PB001170.02.0;PBANKA_010220	
PBANKA_0102300	PBANKA_0102300.1	Plasmodium berghei ANKA	PbANKA_01_v3:102,681..104,003(+)	cation/H+ antiporter	No	1	CAX	Previous IDs: PB000125.00.0;PBANKA_010230	
PBANKA_0102400	PBANKA_0102400.1	Plasmodium berghei ANKA	PbANKA_01_v3:104,749..110,663(-)	AT-rich interactive domain-containing protein, putative	No	1	N/A	Previous IDs: PB000126.00.0;PB000891.03.0;PB100234.00.0;PB300702.00.0;PBANKA_010240	
PBANKA_0102500	PBANKA_0102500.1	Plasmodium berghei ANKA	PbANKA_01_v3:112,462..113,895(+)	phenylalanine--tRNA ligase, putative	No	1	N/A	Previous IDs: PB000604.02.0;PBANKA_010250	
PBANKA_0102600	PBANKA_0102600.1	Plasmodium berghei ANKA	PbANKA_01_v3:113,956..121,877(-)	centrosomal protein CEP76, putative	No	1	CEP76	Previous IDs: PB000605.02.0;PB000819.02.0;PB300709.00.0;PBANKA_010260	
PBANKA_0102700	PBANKA_0102700.1	Plasmodium berghei ANKA	PbANKA_01_v3:122,663..123,781(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000820.02.0;PBANKA_010270	
PBANKA_0102800	PBANKA_0102800.1	Plasmodium berghei ANKA	PbANKA_01_v3:125,050..129,579(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB300118.00.0;PBANKA_010280	
PBANKA_0102900	PBANKA_0102900.1	Plasmodium berghei ANKA	PbANKA_01_v3:130,777..136,563(-)	AP2 domain transcription factor, putative	No	1	SIP2	Previous IDs: PB300561.00.0;PB405120.00.0;PBANKA_010290	
PBANKA_0103000	PBANKA_0103000.1	Plasmodium berghei ANKA	PbANKA_01_v3:140,282..141,004(+)	ribosomal protein L41, mitochondrial, putative	No	1	N/A	Previous IDs: PB300449.00.0;PBANKA_010300	
PBANKA_0103100	PBANKA_0103100.1	Plasmodium berghei ANKA	PbANKA_01_v3:141,669..143,660(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB300997.00.0;PB301240.00.0;PBANKA_010310	
PBANKA_0103200	PBANKA_0103200.1	Plasmodium berghei ANKA	PbANKA_01_v3:144,470..145,601(+)	conserved protein, unknown function	No	1	N/A	Previous IDs: PB405251.00.0;PBANKA_010320	
PBANKA_0103300	PBANKA_0103300.1	Plasmodium berghei ANKA	PbANKA_01_v3:148,463..155,002(+)	GYF domain-containing protein, putative	No	1	N/A	Previous IDs: PB000155.03.0;PB107464.00.0;PB107547.00.0;PBANKA_010330	
PBANKA_0103400	PBANKA_0103400.1	Plasmodium berghei ANKA	PbANKA_01_v3:155,566..157,169(-)	glyoxalase I-like protein GILP, putative	No	1	GILP	Previous IDs: PB000397.03.0;PB000398.03.0;PB000438.03.0;PB300752.00.0;PBANKA_010340	
PBANKA_0103500	PBANKA_0103500.1	Plasmodium berghei ANKA	PbANKA_01_v3:157,943..162,247(-)	RAP protein, putative	No	1	N/A	Previous IDs: PB000220.01.0;PB000619.03.0;PBANKA_010350;PBANKA_010360	
PBANKA_0103700	PBANKA_0103700.1	Plasmodium berghei ANKA	PbANKA_01_v3:163,005..163,640(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB101509.00.0;PBANKA_010370	
PBANKA_0103800	PBANKA_0103800.1	Plasmodium berghei ANKA	PbANKA_01_v3:164,310..164,894(+)	50S ribosomal protein L24, putative	No	1	N/A	Previous IDs: PB000858.00.0;PBANKA_010380	
PBANKA_0103900	PBANKA_0103900.1	Plasmodium berghei ANKA	PbANKA_01_v3:168,401..170,608(+)	RNA-binding protein, putative	No	1	N/A	Previous IDs: PB000923.00.0;PBANKA_010390	
PBANKA_0104000	PBANKA_0104000.1	Plasmodium berghei ANKA	PbANKA_01_v3:171,686..173,060(-)	acylphosphatase, putative	No	1	N/A	Previous IDs: PB000866.02.0;PBANKA_010400	
PBANKA_0104100	PBANKA_0104100.1	Plasmodium berghei ANKA	PbANKA_01_v3:173,897..175,356(+)	serine/threonine protein kinase ARK1, putative	No	1	ARK1	Previous IDs: PB000863.02.0;PBANKA_010410	
PBANKA_0104200	PBANKA_0104200.1	Plasmodium berghei ANKA	PbANKA_01_v3:175,962..176,435(-)	calcium-binding protein, putative	No	1	N/A	Previous IDs: PB000865.02.0;PBANKA_010420	
PBANKA_0104300	PBANKA_0104300.1	Plasmodium berghei ANKA	PbANKA_01_v3:176,651..178,580(-)	cyclin dependent kinase binding protein, putative	No	1	N/A	Previous IDs: PB000864.02.0;PB403248.00.0;PBANKA_010430	
PBANKA_0104400	PBANKA_0104400.1	Plasmodium berghei ANKA	PbANKA_01_v3:179,179..185,103(-)	nucleoside diphosphate kinase, putative	No	1	N/A	Previous IDs: PB000105.01.0;PB000203.01.0;PB301502.00.0;PBANKA_010440	
PBANKA_0104500	PBANKA_0104500.1	Plasmodium berghei ANKA	PbANKA_01_v3:187,036..187,815(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PBANKA_010450	
PBANKA_0104600	PBANKA_0104600.1	Plasmodium berghei ANKA	PbANKA_01_v3:188,330..193,927(-)	DNA repair protein RAD50, putative	No	1	RAD50	Previous IDs: PB000769.00.0;PB107227.00.0;PB300714.00.0;PBANKA_010460	
PBANKA_0104700	PBANKA_0104700.1	Plasmodium berghei ANKA	PbANKA_01_v3:196,519..198,072(+)	elongation of fatty acids protein, putative	No	1	ELO-B	Previous IDs: PB000405.01.0;PBANKA_010470	
PBANKA_0104800	PBANKA_0104800.1	Plasmodium berghei ANKA	PbANKA_01_v3:198,567..201,569(-)	protein KIC1, putative	No	1	N/A	Previous IDs: PB000404.01.0;PB301312.00.0;PBANKA_010480	
PBANKA_0104900	PBANKA_0104900.1	Plasmodium berghei ANKA	PbANKA_01_v3:204,670..206,858(+)	RNA-binding protein, putative	No	1	N/A	Previous IDs: PB000403.01.0;PBANKA_010490	
PBANKA_0105000	PBANKA_0105000.1	Plasmodium berghei ANKA	PbANKA_01_v3:207,928..208,744(-)	ubiquitin-conjugating enzyme E2 PEX4, putative	No	1	PEX4	Previous IDs: PB000371.03.0;PBANKA_010500	
PBANKA_0105100	PBANKA_0105100.1	Plasmodium berghei ANKA	PbANKA_01_v3:210,136..210,904(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PBANKA_010510	
PBANKA_0105200	PBANKA_0105200.1	Plasmodium berghei ANKA	PbANKA_01_v3:211,904..214,468(-)	polypyrimidine tract-binding protein, putative	No	1	PTB	Previous IDs: PB000329.02.0;PBANKA_010520	
PBANKA_0105300	PBANKA_0105300.1	Plasmodium berghei ANKA	PbANKA_01_v3:216,483..221,962(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000269.02.0;PB000419.00.0;PB001117.01.0;PBANKA_010530	
PBANKA_0105400	PBANKA_0105400.1	Plasmodium berghei ANKA	PbANKA_01_v3:224,533..229,071(+)	coatomer alpha subunit, putative	No	1	N/A	Previous IDs: PB000076.01.0;PB000878.00.0;PB000975.03.0;PBANKA_010540	
PBANKA_0105500	PBANKA_0105500.1	Plasmodium berghei ANKA	PbANKA_01_v3:230,049..230,699(-)	glutaredoxin-like protein	No	1	GLP2	Previous IDs: PB000796.02.0;PB300610.00.0;PBANKA_010550	
PBANKA_0105600	PBANKA_0105600.1	Plasmodium berghei ANKA	PbANKA_01_v3:233,100..235,901(+)	translation initiation factor IF-2, putative	No	1	N/A	Previous IDs: PB000795.02.0;PBANKA_010560	
PBANKA_0105700	PBANKA_0105700.1	Plasmodium berghei ANKA	PbANKA_01_v3:236,912..240,021(+)	MYND-type zinc finger protein, putative	No	1	N/A	Previous IDs: PB300938.00.0;PB300939.00.0;PBANKA_010570	
PBANKA_0105800	PBANKA_0105800.1	Plasmodium berghei ANKA	PbANKA_01_v3:240,576..241,896(-)	RING zinc finger protein, putative	No	1	N/A	Previous IDs: PB000109.02.0;PBANKA_010580	
PBANKA_0105900	PBANKA_0105900.1	Plasmodium berghei ANKA	PbANKA_01_v3:242,994..244,392(+)	uroporphyrinogen III decarboxylase	No	1	UROD	Previous IDs: PB001166.01.0;PBANKA_010590;UROD	
PBANKA_0106000	PBANKA_0106000.1	Plasmodium berghei ANKA	PbANKA_01_v3:244,883..248,217(-)	G-protein associated signal transduction protein, putative	No	1	N/A	Previous IDs: PB000838.00.0;PB001283.00.0;PBANKA_010600	
PBANKA_0106100	PBANKA_0106100.1	Plasmodium berghei ANKA	PbANKA_01_v3:249,342..250,724(+)	4-hydroxybenzoate polyprenyltransferase, putative	No	1	COQ2	Previous IDs: PB000333.02.0;PB000492.03.0;PBANKA_010610	
PBANKA_0106200	PBANKA_0106200.1	Plasmodium berghei ANKA	PbANKA_01_v3:251,097..253,855(-)	spindle assembly abnormal protein 6	No	1	SAS6	Previous IDs: PB000351.03.0;PB000493.03.0;PBANKA_010620	
PBANKA_0106300	PBANKA_0106300.1	Plasmodium berghei ANKA	PbANKA_01_v3:258,200..264,727(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB001068.03.0;PB300613.00.0;PB400383.00.0;PB403808.00.0;PBANKA_010630	
PBANKA_0106400	PBANKA_0106400.1	Plasmodium berghei ANKA	PbANKA_01_v3:265,588..267,452(-)	GTP-binding protein, putative	No	1	N/A	Previous IDs: PB000969.01.0;PBANKA_010640	
PBANKA_0106500	PBANKA_0106500.1	Plasmodium berghei ANKA	PbANKA_01_v3:268,315..270,678(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000059.00.0;PB103904.00.0;PBANKA_010650	
PBANKA_0106600	PBANKA_0106600.1	Plasmodium berghei ANKA	PbANKA_01_v3:270,985..273,139(-)	diphthine methyltransferase, putative	No	1	DPH7	Previous IDs: PB000060.00.0;PB000560.02.0;PBANKA_010660	
PBANKA_0106700	PBANKA_0106700.1	Plasmodium berghei ANKA	PbANKA_01_v3:273,659..277,192(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000559.02.0;PB001428.02.0;PBANKA_010670	
PBANKA_0106800	PBANKA_0106800.1	Plasmodium berghei ANKA	PbANKA_01_v3:277,341..278,201(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB001427.02.0;PBANKA_010680	
PBANKA_0106900	PBANKA_0106900.1	Plasmodium berghei ANKA	PbANKA_01_v3:278,666..281,917(+)	heptatricopeptide repeat-containing protein, putative	No	1	N/A	Previous IDs: PB001403.02.0;PB001429.02.0;PBANKA_010690	
PBANKA_0106950	PBANKA_0106950.1	Plasmodium berghei ANKA	PbANKA_01_v3:282,506..283,870(+)	sorting assembly machinery 50 kDa subunit, putative	No	1	SAM50	Previous IDs: PB001403.02.0;PB001429.02.0;PBANKA_010695	
PBANKA_0107000	PBANKA_0107000.1	Plasmodium berghei ANKA	PbANKA_01_v3:284,338..284,748(-)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB001405.02.0;PBANKA_010700	
PBANKA_0107100	PBANKA_0107100.1	Plasmodium berghei ANKA	PbANKA_01_v3:285,801..286,753(-)	proteasome subunit alpha type-2, putative	No	1	N/A	Previous IDs: PB001404.02.0;PBANKA_010710	
PBANKA_0107200	PBANKA_0107200.1	Plasmodium berghei ANKA	PbANKA_01_v3:288,589..289,663(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PBANKA_010720	
PBANKA_0107300	PBANKA_0107300.1	Plasmodium berghei ANKA	PbANKA_01_v3:291,081..292,796(+)	T-complex protein 1 subunit zeta, putative	No	1	CCT6	Previous IDs: PB001086.01.0;PB300191.00.0;PBANKA_010730	
PBANKA_0107400	PBANKA_0107400.1	Plasmodium berghei ANKA	PbANKA_01_v3:294,827..296,071(+)	ornithine aminotransferase, putative	No	1	OAT	Previous IDs: PB000618.00.0;PBANKA_010740	
PBANKA_0107500	PBANKA_0107500.1	Plasmodium berghei ANKA	PbANKA_01_v3:297,139..299,950(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB001299.00.0;PBANKA_010750	
PBANKA_0107600	PBANKA_0107600.1	Plasmodium berghei ANKA	PbANKA_01_v3:301,998..318,320(+)	nucleoporin NUP637, putative	No	1	NUP637	Previous IDs: PB000013.03.0;PB000283.03.0;PB000343.02.0;PBANKA_010760	
PBANKA_0107700	PBANKA_0107700.1	Plasmodium berghei ANKA	PbANKA_01_v3:318,879..320,670(-)	zinc transporter ZIP1	No	1	ZIP1	Previous IDs: PB000033.01.0;PBANKA_010770	
PBANKA_0107800	PBANKA_0107800.1	Plasmodium berghei ANKA	PbANKA_01_v3:322,206..323,736(+)	citrate synthase-like protein, putative	No	1	N/A	Previous IDs: PB000034.02.0;PB102305.00.0;PBANKA_010780	
PBANKA_0107900	PBANKA_0107900.1	Plasmodium berghei ANKA	PbANKA_01_v3:324,834..327,357(+)	conserved Plasmodium protein, unknown function	No	1	N/A	Previous IDs: PB000035.02.0;PB000232.01.0;PBANKA_010790	
PBANKA_0108000	PBANKA_0108000.1	Plasmodium berghei ANKA	PbANKA_01_v3:327,781..329,589(-)	mitochondrial cardiolipin synthase, putative	No	1	CLS	Previous IDs: PBANKA_010800	
